CODGL;Viv;Pob;Viv_par;Pob_viv_part;Viv_col;Pob_viv_col;Pob_sit_calle
140770;2.721;6.627;2.716;6.590;5;37;.
140777;1.515;1.276;1.515;1.276;.;.;.
140784;3.207;7.432;3.205;7.403;2;29;.
140791;440;1.090;439;1.074;1;16;.
140798;267;618;267;618;.;.;.
140805;739;1.845;738;1.835;1;10;.
140812;4.211;9.608;4.206;9.522;5;86;.
140819;1.433;3.399;1.432;3.384;1;15;.
140826;391;898;391;898;.;.;.
140833;1.072;2.537;1.072;2.537;.;.;.
140840;4.271;10.343;4.261;10.003;10;340;.
140847;431;985;431;985;.;.;.
140854;313;864;313;864;.;.;.
140861;80.683;182.038;80.609;180.724;74;1.288;26
140868;3.980;8.554;3.973;8.505;7;49;.
140875;1.651;4.007;1.649;3.995;2;12;.
140882;1.944;5.057;1.943;5.039;1;18;.
140889;236;603;236;603;.;.;.
140896;4.792;11.712;4.790;11.708;2;4;.
140903;1.796;4.333;1.794;4.325;2;8;.
140910;1.063;2.788;1.063;2.788;.;.;.
140917;5.125;14.938;5.121;14.802;4;136;.
140924;1.155;2.889;1.153;2.871;2;18;.
140931;616;1.617;616;1.617;.;.;.
140938;3.875;11.726;3.873;11.702;2;24;.
140945;3.472;9.327;3.466;9.270;6;57;.
140952;437;1.093;437;1.093;.;.;.
140959;1.203;3.193;1.202;3.185;1;8;.
140966;2.420;6.184;2.417;6.173;3;11;.
140973;1.124;2.940;1.123;2.925;1;15;.
140980;318;841;318;841;.;.;.
140987;192;507;192;507;.;.;.
140994;630;1.561;629;1.547;1;14;.
141001;628;1.548;628;1.548;.;.;.
141008;622;1.480;622;1.480;.;.;.
141015;3.082;7.966;3.078;7.911;4;55;.
141022;713;1.946;712;1.938;1;8;.
141029;2.705;7.082;2.703;7.054;2;28;.
141036;447;1.139;447;1.139;.;.;.
141043;530;1.017;530;1.017;.;.;.
141050;6.437;14.702;6.431;14.593;6;109;.
141057;6.781;18.674;6.770;18.513;11;161;.
141064;2.051;5.302;2.049;5.269;2;33;.
141071;8.008;22.258;7.997;22.171;11;87;.
141078;1.251;3.298;1.251;3.298;.;.;.
141085;7.268;17.680;7.255;17.551;13;129;.
141092;5.713;11.955;5.687;11.857;26;98;.
141099;903;2.169;903;2.169;.;.;.
141106;1.555;4.469;1.555;4.469;.;.;.
141113;4.060;8.426;4.060;8.426;.;.;.
141120;1.619;4.736;1.619;4.736;.;.;.
141127;3.101;5.956;3.100;5.954;1;2;.
141130;1.228;2.862;1.225;2.849;3;13;.
141132;1.166;2.599;1.166;2.599;.;.;.
141134;1.756;2.942;1.750;2.930;6;12;.
141141;1.179;2.803;1.179;2.803;.;.;.
141148;3.138;6.008;3.134;5.999;4;9;.
141155;13.998;34.005;13.982;33.393;16;612;.
141162;1.523;3.529;1.513;3.316;10;213;.
141169;819;2.051;818;2.049;1;2;.
141176;11.065;28.161;11.057;28.058;8;103;.
141183;2.788;6.840;2.782;6.798;6;42;.
141190;4.315;11.419;4.308;11.346;7;73;.
141197;623;1.273;622;1.262;1;11;.
141204;167;372;167;372;.;.;.
141211;621;1.472;620;1.437;1;35;.
141218;242;737;241;638;1;99;.
141225;2.683;7.098;2.679;7.059;4;39;.
141232;594;1.496;594;1.496;.;.;.
141239;640;1.699;636;1.589;4;110;.
